wavelength_A,flux
2.189000000000035016e+03,3.591888802729726889e-13
2.190400000000035106e+03,3.644623585872573768e-13
2.191800000000035197e+03,3.659082519718199594e-13
2.193200000000035288e+03,3.644768019663082790e-13
2.194600000000035379e+03,3.644101852997786500e-13
2.196000000000035470e+03,3.653952908342173683e-13
2.197400000000035561e+03,3.647479354735039363e-13
2.198800000000035652e+03,3.590920555281143835e-13
2.200200000000035743e+03,3.569809995681466235e-13
2.201600000000035834e+03,3.616068298886232292e-13
2.203000000000035925e+03,3.601086582239913052e-13
2.204400000000036016e+03,3.615021772631683450e-13
2.205800000000036107e+03,3.631799182148033162e-13
2.207200000000036198e+03,3.578342571597037777e-13
2.208600000000036289e+03,3.563966677121260968e-13
2.210000000000036380e+03,3.586251889656316747e-13
2.211400000000036471e+03,3.574186281225664930e-13
2.212800000000036562e+03,3.607919886428845712e-13
2.214200000000036653e+03,3.621237552931793477e-13
2.215600000000036744e+03,3.591552113590871278e-13
2.217000000000036835e+03,3.567042940552070677e-13
2.218400000000036925e+03,3.541020515007345878e-13
2.219800000000037016e+03,3.532343525480965426e-13
2.221200000000037107e+03,3.534812417075932089e-13
2.222600000000037198e+03,3.551795319520766022e-13
2.224000000000037289e+03,3.570448183055556309e-13
2.225400000000037380e+03,3.579752260336984153e-13
2.226800000000037471e+03,3.586667443679934452e-13
2.228200000000037562e+03,3.559311315056781505e-13
2.229600000000037653e+03,3.578484537079530129e-13
2.231000000000037744e+03,3.539178781159744795e-13
2.232400000000037835e+03,3.533955247499071928e-13
2.233800000000037926e+03,3.450040733561500612e-13
2.235200000000038017e+03,3.496476351652057069e-13
2.236600000000038108e+03,3.552335413659466461e-13
2.238000000000038199e+03,3.488056629767965434e-13
2.239400000000038290e+03,3.459671260787541819e-13
2.240800000000038381e+03,3.463333228094512045e-13
2.242200000000038472e+03,3.479616380209677301e-13
2.243600000000038563e+03,3.617165503832067418e-13
2.245000000000038654e+03,3.760321820390906833e-13
2.246400000000038744e+03,3.500948951868973640e-13
2.247800000000038835e+03,3.437700607539960024e-13
2.249200000000038926e+03,3.374452263210946407e-13
2.250600000000039017e+03,3.326302809616310031e-13
2.252000000000039108e+03,3.470937596452445484e-13
2.253400000000039199e+03,3.367169725138741092e-13
2.254800000000039290e+03,3.389285332330100295e-13
2.256200000000039381e+03,3.411400939521459498e-13
2.257600000000039472e+03,3.419905716490058321e-13
2.259000000000039563e+03,3.359372562352139060e-13
2.260400000000039654e+03,3.319449294100336792e-13
2.261800000000039745e+03,3.301301586373096557e-13
2.263200000000039836e+03,3.358193861490678255e-13
2.264600000000039927e+03,3.389887529319361659e-13
2.266000000000040018e+03,3.409269921084376315e-13
2.267400000000040109e+03,3.444211022647190274e-13
2.268800000000040200e+03,3.475136388606115677e-13
2.270200000000040291e+03,3.427585186755173424e-13
2.271600000000040382e+03,3.440062362366384922e-13
2.273000000000040473e+03,3.462888413721984662e-13
2.274400000000040563e+03,3.452993256021782134e-13
2.275800000000040654e+03,3.414725497988563886e-13
2.277200000000040745e+03,3.394880832540143711e-13
2.278600000000040836e+03,3.445390091878968827e-13
2.280000000000040927e+03,3.411521558461389595e-13
2.281400000000041018e+03,3.392408540807488490e-13
2.282800000000041109e+03,3.420370373512853871e-13
2.284200000000041200e+03,3.425000605909312047e-13
2.285600000000041291e+03,3.421553574938580264e-13
2.287000000000041382e+03,3.391792100122213139e-13
2.288400000000041473e+03,3.421039094399006710e-13
2.289800000000041564e+03,3.480018236540570091e-13
2.291200000000041655e+03,3.429396412055176615e-13
2.292600000000041746e+03,3.380537068293282682e-13
2.294000000000041837e+03,3.377816099748501561e-13
2.295400000000041928e+03,3.376913164520480335e-13
2.296800000000042019e+03,3.383395877475119519e-13
2.298200000000042110e+03,3.393562276617578781e-13
2.299600000000042201e+03,3.385780951304197134e-13
2.301000000000042292e+03,3.392184508214164565e-13
2.302400000000042382e+03,3.391486104322979058e-13
2.303800000000042473e+03,3.385353998778131547e-13
2.305200000000042564e+03,3.394288325741369118e-13
2.306600000000042655e+03,3.407556370352792488e-13
2.308000000000042746e+03,3.420824414964216363e-13
2.309400000000042837e+03,3.390201916105600649e-13
2.310800000000042928e+03,3.344764654672107381e-13
2.312200000000043019e+03,3.325759805800285718e-13
2.313600000000043110e+03,3.323420933223490092e-13
2.315000000000043201e+03,3.311830015025820378e-13
2.316400000000043292e+03,3.299089165576955018e-13
2.317800000000043383e+03,3.319017923014274727e-13
2.319200000000043474e+03,3.309168023023063676e-13
2.320600000000043565e+03,3.297954332026452665e-13
2.322000000000043656e+03,3.286613442212962548e-13
2.323400000000043747e+03,3.266641114213178532e-13
2.324800000000043838e+03,3.264398624140272797e-13
2.326200000000043929e+03,3.264736634522667044e-13
2.327600000000044020e+03,3.294104395858438126e-13
2.329000000000044110e+03,3.258373488777357175e-13
2.330400000000044201e+03,3.230086708180980377e-13
2.331800000000044292e+03,3.247246672459070311e-13
2.333200000000044383e+03,3.223820437765561671e-13
2.334600000000044474e+03,3.228108859704745588e-13
2.336000000000044565e+03,3.218945350143811259e-13
2.337400000000044656e+03,3.209781840582877436e-13
2.338800000000044747e+03,3.194606501869616557e-13
2.340200000000044838e+03,3.040859170017737547e-13
2.341600000000044929e+03,2.532151702866898286e-13
2.343000000000045020e+03,2.133538223724817933e-13
2.344400000000045111e+03,2.250334462715438964e-13
2.345800000000045202e+03,2.800321504779343440e-13
2.347200000000045293e+03,3.042315377437217055e-13
2.348600000000045384e+03,3.152432276368267935e-13
