name,n_spec,ra,dec,instr,gratings,is_remnant,has_uv,classification
SN2024BCH,4,155.45725,56.9279,STIS,G230LB;G430L;G750L,False,True,STAR;SUPERNOVA TYPE II
SN2023BEE,4,134.0485,-3.32553,STIS,G230L;G430L;G750L,False,True,EXT-STAR;SUPERNOVA TYPE IA
2025NGI,4,318.04583,-57.27157,STIS,G230LB;G430L;G750L,False,True,EXT-STAR;SUPERNOVA
2026OBC,3,16.95594,41.99538,STIS,G140L;G230L,False,True,EXT-STAR;SUPERNOVA
AT2020YVU,3,345.24933,40.91063,STIS,G230L;G430L;G750L,False,True,EXT-STAR;SUPERNOVA TYPE IA
AT2021J,3,186.61263,31.22239,STIS,G230L;G430L;G750L,False,True,EXT-STAR;SUPERNOVA TYPE IA
SN2024ADMM,3,54.02835,-5.17503,STIS,G230LB;G430L;G750L,False,True,STAR;SUPERNOVA
LZSNIAN2,3,174.50733,-32.33072,STIS,G430L,False,False,EXT-STAR;SUPERNOVA TYPE IA
ZTF21ACKXDOS,3,177.02896,-12.64494,COS;STIS,G130M;G160M;G230LB,False,True,STAR;SUPERNOVA TYPE II
SN2025ADJ,3,224.93531,51.46305,STIS,G230LB;G430L;G750L,False,True,STAR;SUPERNOVA;SUPERNOVA TYPE II
SN2011HT,3,152.04413,51.84922,STIS,G140L;G230L;G230M,False,True,EXT-STAR;SUPERNOVA TYPE II
AT2025SCW,3,17.86324,-38.08144,STIS,G230LB;G430L;G750L,False,True,STAR;SUPERNOVA
AT2022EYW,3,190.99988,62.33008,STIS,G230L;G430L;G750L,False,True,EXT-STAR;SUPERNOVA TYPE IA
AT2020UXZ,3,21.02869,12.92148,STIS,G230L;G430L;G750L,False,True,EXT-STAR;SUPERNOVA TYPE IA
SN2021HIZ,3,186.42367,7.22839,STIS,G230L;G430L;G750L,False,True,EXT-STAR;SUPERNOVA TYPE IA
SN2025BCO,3,198.93043,-0.47185,STIS,G230LB;G430L;G750L,False,True,STAR;SUPERNOVA TYPE II
SN2017EGM,3,154.77342,46.45393,COS;STIS,G140L;G230L;G430L,False,True,EXT-STAR;SUPERNOVA
SN2018BSZ,3,242.41296,-32.06267,COS;STIS,G140L;G230L,False,True,EXT-STAR;SUPERNOVA
ASASSN-15LH,3,330.56425,-61.65964,COS;STIS,G140L;G230L;G430L,False,True,EXT-STAR;SUPERNOVA
SN-2006GY,2,49.3631,41.40522,STIS,G430L;G750L,False,False,STAR;SUPERNOVA;SUPERNOVA TYPE II
SN1961V,2,40.90199,37.34522,STIS,G430M;G750M,False,False,EXT-STAR;SUPERNOVA TYPE II
NSNF3,2,163.84363,-7.65346,STIS,G230L;G430L,False,True,EXT-STAR;SUPERNOVA TYPE IA
NSNF5,2,210.13104,-28.87575,STIS,G230L;G430L,False,True,EXT-STAR;SUPERNOVA TYPE IA
PTF11DIJ,2,207.74082,26.27858,STIS,G230L,False,True,STAR;SUPERNOVA
09DNP,1,229.8518,49.499,STIS,G430L,False,False,EXT-STAR;SUPERNOVA TYPE IA
PS15DPQ-AS-OFFSET,1,47.30307,27.52133,STIS,G230L,False,True,EXT-STAR;SUPERNOVA TYPE IA
SN2010XXXX,1,70.035,7.35,STIS,G430L,False,False,EXT-STAR;SUPERNOVA TYPE IA
10YUX,1,351.05573,7.22861,STIS,G430L,False,False,EXT-STAR;SUPERNOVA TYPE IA
10XYT,1,349.76016,13.79065,STIS,G430L,False,False,EXT-STAR;SUPERNOVA TYPE IA
SN2010JU,1,85.48329,18.4975,STIS,G430L,False,False,EXT-STAR;SUPERNOVA TYPE IA
10ACDH,1,145.78158,9.65874,STIS,G430L,False,False,EXT-STAR;SUPERNOVA TYPE IA
10WOF,1,353.17445,15.35884,STIS,G430L,False,False,EXT-STAR;SUPERNOVA TYPE IA
10UFJ,1,36.41339,24.76478,STIS,G430L,False,False,EXT-STAR;SUPERNOVA TYPE IA
10OPS,1,326.88944,5.85842,STIS,G430L,False,False,STAR;SUPERNOVA TYPE IA
10PDF,1,201.12905,42.08903,STIS,G430L,False,False,STAR;SUPERNOVA TYPE IA
10QJL,1,249.99753,12.10717,STIS,G430L,False,False,STAR;SUPERNOVA TYPE IA
10QYX,1,36.79999,-4.53481,STIS,G430L,False,False,STAR;SUPERNOVA TYPE IA
10ZDK,1,33.53064,23.63072,STIS,G430L,False,False,EXT-STAR;SUPERNOVA TYPE IA
10WNM,1,5.51504,27.04065,STIS,G430L,False,False,EXT-STAR;SUPERNOVA TYPE IA
10TCE,1,349.79324,9.19838,STIS,G430L,False,False,STAR;SUPERNOVA TYPE IA
10HDV,1,181.93904,41.49108,STIS,G430L,False,False,EXT-STAR;SUPERNOVA TYPE IA
10NDC,1,259.95924,28.69929,STIS,G430L,False,False,EXT-STAR;SUPERNOVA TYPE IA
10HMV,1,182.88863,47.2749,STIS,G430L,False,False,STAR;SUPERNOVA TYPE IA
10BJS,1,195.29686,53.81597,STIS,G430L,False,False,EXT-STAR;SUPERNOVA TYPE IA
09FOZ,1,10.54883,-9.88124,STIS,G430L,False,False,EXT-STAR;SUPERNOVA TYPE IA
10FPS,1,202.35462,11.79623,STIS,G430L,False,False,EXT-STAR;SUPERNOVA TYPE IA
10MWB,1,259.45828,40.88121,STIS,G430L,False,False,EXT-STAR;SUPERNOVA TYPE IA
SN2009LE,1,32.32153,-23.41235,STIS,G430L,False,False,EXT-STAR;SUPERNOVA TYPE IA
10NLG,1,252.6437,60.27634,STIS,G430L,False,False,EXT-STAR;SUPERNOVA TYPE IA
10ICB,1,193.70508,58.88188,STIS,G430L,False,False,EXT-STAR;SUPERNOVA TYPE IA
09FOX,1,350.20004,32.50239,STIS,G430L,False,False,EXT-STAR;SUPERNOVA TYPE IA
09DLC,1,326.62543,6.41923,STIS,G430L,False,False,EXT-STAR;SUPERNOVA TYPE IA
09DNL,1,260.92418,30.49707,STIS,G430L,False,False,EXT-STAR;SUPERNOVA TYPE IA
10QJQ,1,256.8017,35.50983,STIS,G430L,False,False,STAR;SUPERNOVA TYPE IA
10OSN,1,350.78352,17.50819,STIS,G430L,False,False,EXT-STAR;SUPERNOVA TYPE IA
E0102-HOTSPOT,1,16.00858,-72.03203,COS,G140L,False,True,STAR;M V-IV;SUPERNOVA
